"UNKNOWN" "UNKNOWN" "Name" "No."
"1" "2004" "  1" "Joshua" "504"
"2" "2004" "  2" "Jack" "491"
"3" "2004" "  3" "Benjamin" "370"
"4" "2004" "  4" "Samuel" "357"
"5" "2004" "  5" "Ethan" "351"
"6" "2004" "  6" "Matthew" "329"
"7" "2004" "  7" "James" "327"
"8" "2004" "  8" "Jacob" "326"
"9" "2004" "  9" "Daniel" "325"
"10" "2004" " 10" "Liam" "315"
"11" "2004" " 11" "Ryan" "312"
"12" "2004" " 12" "William" "304"
"13" "2004" " 13" "Thomas" "287"
"14" "2004" " 14" "Caleb" "263"
"15" "2004" " 15" "Oliver" "250"
"16" "2004" " 16" "Dylan" "248"
"17" "2004" " 17" "Jayden" "219"
"18" "2004" " 18" "Connor" "214"
"19" "2004" " 19" "Luke" "197"
"20" "2004" " 20" "Logan" "190"
"21" "2004" " 21" "Cameron" "183"
"22" "2004" " 22" "Alexander" "172"
"23" "2004" " 23" "Riley" "170"
"24" "2004" " 24" "Max" "168"
"25" "2004" " 25" "Michael" "153"
"26" "2004" " 26" "Joseph" "151"
"27" "2004" " 27" "Alex" "147"
"28" "2004" " 28" "Isaac" "144"
"29" "2004" " 29" "Nathan" "141"
"30" "2004" " 30" "Blake" "137"
"31" "2004" " 31" "George" "137"
"32" "2004" " 32" "Jordan" "137"
"33" "2004" " 33" "Lachlan" "134"
"34" "2004" " 34" "Tyler" "134"
"35" "2004" " 35" "Levi" "128"
"36" "2004" " 36" "Noah" "128"
"37" "2004" " 37" "Harry" "126"
"38" "2004" " 38" "Jackson" "125"
"39" "2004" " 39" "Nicholas" "124"
"40" "2004" " 40" "Cody" "120"
"41" "2004" " 41" "Ashton" "117"
"42" "2004" " 42" "Ben" "114"
"43" "2004" " 43" "Lucas" "111"
"44" "2004" " 44" "Harrison" "110"
"45" "2004" " 45" "Hamish" "106"
"46" "2004" " 46" "John" "106"
"47" "2004" " 47" "Bailey" "103"
"48" "2004" " 48" "Flynn" "101"
"49" "2004" " 49" "Finn" "99"
"50" "2004" " 50" "Charlie" "98"
"51" "2004" " 51" "David" "97"
"52" "2004" " 52" "Hunter" "97"
"53" "2004" " 53" "Adam" "96"
"54" "2004" " 54" "Xavier" "96"
"55" "2004" " 55" "Andrew" "94"
"56" "2004" " 56" "Jake" "94"
"57" "2004" " 57" "Joel" "94"
"58" "2004" " 58" "Sam" "94"
"59" "2004" " 59" "Reuben" "90"
"60" "2004" " 60" "Toby" "90"
"61" "2004" " 61" "Jamie" "89"
"62" "2004" " 62" "Henry" "87"
"63" "2004" " 63" "Callum" "83"
"64" "2004" " 64" "Mitchell" "83"
"65" "2004" " 65" "Elijah" "82"
"66" "2004" " 66" "Jonathan" "82"
"67" "2004" " 67" "Oscar" "82"
"68" "2004" " 68" "Patrick" "82"
"69" "2004" " 69" "Cole" "75"
"70" "2004" " 70" "Zachary" "75"
"71" "2004" " 71" "Sean" "73"
"72" "2004" " 72" "Christopher" "72"
"73" "2004" " 73" "Mason" "72"
"74" "2004" " 74" "Angus" "70"
"75" "2004" " 75" "Kaleb" "70"
"76" "2004" " 76" "Seth" "70"
"77" "2004" " 77" "Aaron" "69"
"78" "2004" " 78" "Aidan" "68"
"79" "2004" " 79" "Anthony" "68"
"80" "2004" " 80" "Jesse" "67"
"81" "2004" " 81" "Brayden" "66"
"82" "2004" " 82" "Robert" "66"
"83" "2004" " 83" "Carlos" "65"
"84" "2004" " 84" "Troy" "64"
"85" "2004" " 85" "Jason" "62"
