"UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "# of  Entries" "#  Absent" "#  SNA" "#  Assessed" "# Not  Achieved" "#  Scholarship" "#  Outstanding"
"1" "Decile 1-3" "All Subjects" "Accounting" "NZ Maori" "Male" 2 1 0 1 1 0 0
"2" "Decile 1-3" "All Subjects" "Accounting" "NZ Maori" "Female" 0 0 0 0 0 0 0
"3" "Decile 1-3" "All Subjects" "Accounting" "NZ European" "Male" 2 0 0 2 1 1 0
"4" "Decile 1-3" "All Subjects" "Accounting" "NZ European" "Female" 3 0 0 3 2 1 0
"5" "Decile 1-3" "All Subjects" "Accounting" "NZ European" "Unknown" 0 0 0 0 0 0 0
"6" "Decile 1-3" "All Subjects" "Accounting" "Pasifika Peoples" "Male" 2 0 0 2 2 0 0
"7" "Decile 1-3" "All Subjects" "Accounting" "Pasifika Peoples" "Female" 6 2 0 4 4 0 0
"8" "Decile 1-3" "All Subjects" "Accounting" "Asian" "Male" 5 0 0 5 5 0 0
"9" "Decile 1-3" "All Subjects" "Accounting" "Asian" "Female" 2 1 0 1 1 0 0
"10" "Decile 1-3" "All Subjects" "Accounting" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"11" "Decile 1-3" "All Subjects" "Accounting" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"12" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "NZ Maori" "Male" 0 0 0 0 0 0 0
"13" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "NZ Maori" "Female" 0 0 0 0 0 0 0
"14" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "NZ European" "Male" 0 0 0 0 0 0 0
"15" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "NZ European" "Female" 0 0 0 0 0 0 0
"16" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "NZ European" "Unknown" 0 0 0 0 0 0 0
"17" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"18" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"19" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "Asian" "Male" 0 0 0 0 0 0 0
"20" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "Asian" "Female" 0 0 0 0 0 0 0
"21" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"22" "Decile 1-3" "All Subjects" "Agricultural & Horticultural Science" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"23" "Decile 1-3" "All Subjects" "Art History" "NZ Maori" "Male" 0 0 0 0 0 0 0
"24" "Decile 1-3" "All Subjects" "Art History" "NZ Maori" "Female" 2 0 0 2 2 0 0
"25" "Decile 1-3" "All Subjects" "Art History" "NZ European" "Male" 1 1 0 0 0 0 0
"26" "Decile 1-3" "All Subjects" "Art History" "NZ European" "Female" 3 0 0 3 3 0 0
"27" "Decile 1-3" "All Subjects" "Art History" "NZ European" "Unknown" 0 0 0 0 0 0 0
"28" "Decile 1-3" "All Subjects" "Art History" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"29" "Decile 1-3" "All Subjects" "Art History" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"30" "Decile 1-3" "All Subjects" "Art History" "Asian" "Male" 0 0 0 0 0 0 0
"31" "Decile 1-3" "All Subjects" "Art History" "Asian" "Female" 0 0 0 0 0 0 0
"32" "Decile 1-3" "All Subjects" "Art History" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"33" "Decile 1-3" "All Subjects" "Art History" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"34" "Decile 1-3" "All Subjects" "Biology" "NZ Maori" "Male" 6 1 0 5 5 0 0
"35" "Decile 1-3" "All Subjects" "Biology" "NZ Maori" "Female" 3 2 0 1 1 0 0
"36" "Decile 1-3" "All Subjects" "Biology" "NZ European" "Male" 7 0 0 7 5 2 0
"37" "Decile 1-3" "All Subjects" "Biology" "NZ European" "Female" 15 2 1 12 7 5 0
