"UNKNOWN" "UNKNOWN" "UNKNOWN" "Private" "Central Government Sector" "Local Government Sector" "All Sectors"
"1" "Gross Domestic Product - product measure" "Market" "1972" 5200 568 155 5923
"2" "Gross Domestic Product - product measure" "Market" "1973" 5993 649 169 6811
"3" "Gross Domestic Product - product measure" "Market" "1974" 7013 723 183 7919
"4" "Gross Domestic Product - product measure" "Market" "1975" 7636 750 202 8588
"5" "Gross Domestic Product - product measure" "Market" "1976" 8526 840 231 9597
"6" "Gross Domestic Product - product measure" "Market" "1977" 10450 1179 295 11924
"7" "Gross Domestic Product - product measure" "Market" "1978" 11469 1398 362 13230
"8" "Gross Domestic Product - product measure" "Market" "1979" 12729 1685 394 14808
"9" "Gross Domestic Product - product measure" "Market" "1980" 14707 2050 501 17258
"10" "Gross Domestic Product - product measure" "Market" "1981" 16947 2358 559 19864
"11" "Gross Domestic Product - product measure" "Market" "1982" 20751 2770 655 24175
"12" "Gross Domestic Product - product measure" "Market" "1983" 23525 3184 759 27468
"13" "Gross Domestic Product - product measure" "Market" "1984" 26577 3644 800 31021
"14" "Gross Domestic Product - product measure" "Market" "1985" 30530 3924 850 35304
"15" "Gross Domestic Product - product measure" "Market" "1986" 35104 4741 1008 40853
"16" "Gross Domestic Product - product measure" "Market" "1987" 40167 6189 1160 47515
"17" "Gross Domestic Product - product measure" "Market" "1988" 43613 6957 1192 51762
"18" "Gross Domestic Product - product measure" "Market" "1989" 47816 7052 1364 56231
"19" "Gross Domestic Product - product measure" "Market" "1990" 51170 6267 1364 58800
"20" "Gross Domestic Product - product measure" "Market" "1991" 53613 4970 1412 59995
"21" "Gross Domestic Product - product measure" "Market" "1992" 54492 3917 1366 59775
"22" "Gross Domestic Product - product measure" "Market" "1993" 56696 3626 1431 61754
"23" "Gross Domestic Product - product measure" "Market" "1994" 62428 3360 1452 67240
"24" "Gross Domestic Product - product measure" "Market" "1995" 67495 3210 1617 72322
"25" "Gross Domestic Product - product measure" "Market" "1996" 72237 3090 1745 77072
"26" "Gross Domestic Product - product measure" "Market" "1997" 75844 3058 1849 80750
"27" "Gross Domestic Product - product measure" "Market" "1998" 78712 3129 1890 83732
"28" "Gross Domestic Product - product measure" "Market" "1999" 80382 2803 1809 84994
"29" "Gross Domestic Product - product measure" "Market" "2000" 86163 2568 1716 90447
"30" "Gross Domestic Product - product measure" "Market" "2001" 91811 2396 1692 95898
"31" "Gross Domestic Product - product measure" "Market" "2002" 98851 2870 1837 103558
"32" "Gross Domestic Product - product measure" "Market" "2003" 102691 3691 2016 108398
"33" "Gross Domestic Product - product measure" "Market" "2004" 109298 4138 2331 115767
"34" "Gross Domestic Product - product measure" "Market" "2005" 116966 4295 2268 123528
"35" "Gross Domestic Product - product measure" "Market" "2006" 122292 4859 2685 129835
"36" "Gross Domestic Product - product measure" "Market" "2007" 127531 4857 2735 135123
"37" "Gross Domestic Product - product measure" "Market" "2008" 138127 5554 2962 146644
"38" "Gross Domestic Product - product measure" "Market" "2009" 137240 5783 3195 146219
"39" "Gross Domestic Product - product measure" "Market" "2010" 139525 6090 3252 148866
"40" "Gross Domestic Product - product measure" "Non-Market" "1972" 58 660 100 818
"41" "Gross Domestic Product - product measure" "Non-Market" "1973" 68 738 118 924
"42" "Gross Domestic Product - product measure" "Non-Market" "1974" 78 880 136 1093
"43" "Gross Domestic Product - product measure" "Non-Market" "1975" 90 1049 164 1303
"44" "Gross Domestic Product - product measure" "Non-Market" "1976" 108 1264 202 1574
"45" "Gross Domestic Product - product measure" "Non-Market" "1977" 130 1431 213 1774
"46" "Gross Domestic Product - product measure" "Non-Market" "1978" 150 1713 247 2111
"47" "Gross Domestic Product - product measure" "Non-Market" "1979" 180 2105 306 2591
"48" "Gross Domestic Product - product measure" "Non-Market" "1980" 216 2434 368 3018
"49" "Gross Domestic Product - product measure" "Non-Market" "1981" 261 3042 439 3742
"50" "Gross Domestic Product - product measure" "Non-Market" "1982" 316 3619 542 4477
"51" "Gross Domestic Product - product measure" "Non-Market" "1983" 332 3975 606 4913
"52" "Gross Domestic Product - product measure" "Non-Market" "1984" 327 4081 653 5061
"53" "Gross Domestic Product - product measure" "Non-Market" "1985" 361 4270 720 5351
"54" "Gross Domestic Product - product measure" "Non-Market" "1986" 418 5012 815 6245
"55" "Gross Domestic Product - product measure" "Non-Market" "1987" 501 6235 896 7631
"56" "Gross Domestic Product - product measure" "Non-Market" "1988" 582 6885 961 8427
"57" "Gross Domestic Product - product measure" "Non-Market" "1989" 663 7410 1076 9149
"58" "Gross Domestic Product - product measure" "Non-Market" "1990" 722 7710 1153 9585
"59" "Gross Domestic Product - product measure" "Non-Market" "1991" 801 7912 1228 9941
"60" "Gross Domestic Product - product measure" "Non-Market" "1992" 895 7960 1189 10045
"61" "Gross Domestic Product - product measure" "Non-Market" "1993" 961 8115 1138 10214
"62" "Gross Domestic Product - product measure" "Non-Market" "1994" 1024 8277 1176 10477
"63" "Gross Domestic Product - product measure" "Non-Market" "1995" 1117 8366 1204 10687
"64" "Gross Domestic Product - product measure" "Non-Market" "1996" 1221 8710 1249 11180
"65" "Gross Domestic Product - product measure" "Non-Market" "1997" 1419 9138 1249 11806
"66" "Gross Domestic Product - product measure" "Non-Market" "1998" 1633 9489 1277 12399
"67" "Gross Domestic Product - product measure" "Non-Market" "1999" 1958 9945 1298 13201
"68" "Gross Domestic Product - product measure" "Non-Market" "2000" 2076 10303 1322 13701
"69" "Gross Domestic Product - product measure" "Non-Market" "2001" 2206 10705 1364 14275
"70" "Gross Domestic Product - product measure" "Non-Market" "2002" 2312 11230 1441 14984
"71" "Gross Domestic Product - product measure" "Non-Market" "2003" 2455 11929 1532 15916
"72" "Gross Domestic Product - product measure" "Non-Market" "2004" 2683 12753 1645 17081
"73" "Gross Domestic Product - product measure" "Non-Market" "2005" 2937 13812 1769 18518
"74" "Gross Domestic Product - product measure" "Non-Market" "2006" 3013 15058 1899 19971
"75" "Gross Domestic Product - product measure" "Non-Market" "2007" 3131 16257 2105 21493
"76" "Gross Domestic Product - product measure" "Non-Market" "2008" 3317 17569 2298 23184
"77" "Gross Domestic Product - product measure" "Non-Market" "2009" 3742 19067 2470 25279
"78" "Gross Domestic Product - product measure" "Non-Market" "2010" 3942 20007 2605 26553
"79" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1972" 5258 1227 255 6740
"80" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1973" 6062 1387 287 7735
"81" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1974" 7091 1604 318 9013
"82" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1975" 7727 1798 366 9891
"83" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1976" 8634 2104 433 11171
"84" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1977" 10580 2611 508 13698
"85" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1978" 11620 3111 610 15341
"86" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1979" 12909 3789 700 17398
"87" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1980" 14923 4484 869 20275
"88" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1981" 17207 5401 998 23606
"89" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1982" 21067 6388 1197 28652
"90" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1983" 23858 7158 1365 32381
"91" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1984" 26903 7725 1453 36081
"92" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1985" 30891 8194 1570 40655
"93" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1986" 35522 9752 1823 47098
"94" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1987" 40667 12423 2055 55146
"95" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1988" 44195 13842 2153 60190
"96" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1989" 48479 14461 2440 65380
"97" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1990" 51892 13977 2517 68385
"98" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1991" 54415 12882 2640 69936
"99" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1992" 55387 11877 2556 69819
"100" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1993" 57657 11741 2570 71968
"101" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1994" 63452 11637 2628 77717
"102" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1995" 68612 11576 2822 83009
"103" "Gross Domestic Product - product measure" "Total Market and Non-Market" "1996" 73458 11800 2994 88252
