"UNKNOWN" "UNKNOWN" "UNKNOWN" "Persons Employed in Labour Force" "Persons Unemployed in Labour Force" "Not in Labour Force" "Working Age Population" "Labour Force Participation Rate" "Unemployment Rate" "Employment Rate" "Total Labour Force"
"1" "Male" "European Only" "2007Q4" 855.8 20 280 1155.8 75.8 2.3 74 875.8
"2" "Male" "European Only" "2008Q1" 863 25.4 283.5 1171.9 75.8 2.9 73.6 888.5
"3" "Male" "European Only" "2008Q2" 850.1 26 280.7 1156.8 75.7 3 73.5 876.1
"4" "Male" "European Only" "2008Q3" 839.6 29.8 285.9 1155.3 75.2 3.4 72.7 869.4
"5" "Male" "European Only" "2008Q4" 854.8 29.5 274.7 1158.9 76.3 3.3 73.8 884.2
"6" "Male" "European Only" "2009Q1" 845 35.4 279.4 1159.8 75.9 4 72.9 880.4
"7" "Male" "European Only" "2009Q2" 831.6 34.9 279.7 1146.2 75.6 4 72.6 866.5
"8" "Male" "European Only" "2009Q3" 813.3 42.5 290.4 1146.2 74.7 5 71 855.8
"9" "Male" "European Only" "2009Q4" 831.1 40.1 277 1148.2 75.9 4.6 72.4 871.2
"10" "Male" "European Only" "2010Q1" 822.5 36.4 283.2 1142.1 75.2 4.2 72 858.9
"11" "Male" "European Only" "2010Q2" 825.3 39.9 290.1 1155.3 74.9 4.6 71.4 865.2
"12" "Male" "European Only" "2010Q3" 836.9 31 287.1 1155.1 75.1 3.6 72.5 867.9
"13" "Male" "European Only" "2010Q4" 838.1 39.6 277.1 1154.8 76 4.5 72.6 877.7
"14" "Male" "European Only" "2011Q1" 829.6 36.8 281.2 1147.6 75.5 4.2 72.3 866.4
"15" "Male" "European Only" "2011Q2" 838.7 41 279 1158.7 75.9 4.7 72.4 879.6
"16" "Male" "European Only" "2011Q3" 830.5 34.6 280.2 1145.3 75.5 4 72.5 865.1
"17" "Male" "European Only" "2011Q4" 841.8 34.8 277.5 1154.1 76 4 72.9 876.6
"18" "Male" "European Only" "2012Q1" 843.1 43.3 282.7 1169.1 75.8 4.9 72.1 886.3
"19" "Male" "European Only" "2012Q2" 837.1 38.2 296.5 1171.8 74.7 4.4 71.4 875.3
"20" "Male" "European Only" "2012Q3" 833 38 298.4 1169.3 74.5 4.4 71.2 871
"21" "Male" "European Only" "2012Q4" 833.4 41 298.2 1172.6 74.6 4.7 71.1 874.4
"22" "Male" "European Only" "2013Q1" 832 35.8 294.7 1162.5 74.6 4.1 71.6 867.8
"23" "Male" "Maori Only" "2007Q4" 71.1 6.1 28.1 105.3 73.4 7.9 67.6 77.2
"24" "Male" "Maori Only" "2008Q1" 69.1 7.5 31.4 107.9 71 9.7 64.1 76.6
"25" "Male" "Maori Only" "2008Q2" 67.2 5.7 27.4 100.2 72.7 7.8 67 72.8
"26" "Male" "Maori Only" "2008Q3" 71.7 8.7 30.7 111.1 72.3 10.8 64.5 80.3
"27" "Male" "Maori Only" "2008Q4" 76.1 8.5 28.5 113.1 74.8 10 67.3 84.5
"28" "Male" "Maori Only" "2009Q1" 75.4 8.4 35.7 119.5 70.1 10.1 63.1 83.8
"29" "Male" "Maori Only" "2009Q2" 74.2 9.9 33.1 117.3 71.8 11.8 63.3 84.2
"30" "Male" "Maori Only" "2009Q3" 70.9 10.9 36 117.8 69.5 13.4 60.2 81.8
"31" "Male" "Maori Only" "2009Q4" 71.7 13.6 33.2 118.5 71.9 15.9 60.5 85.3
"32" "Male" "Maori Only" "2010Q1" 71.8 11.3 35.3 118.4 70.2 13.6 60.6 83.1
"33" "Male" "Maori Only" "2010Q2" 71.9 13.7 33.7 119.2 71.8 16 60.3 85.6
